wavelength_um,rsr_watts,spectra_type,,,,
2.051E-01,-1.23E+34,lawn_grass,,,,
2.1310002E-01,-1.23E+34,lawn_grass,,,,
2.211E-01,-1.23E+34,lawn_grass,,,,
2.291E-01,-1.23E+34,lawn_grass,,,,
2.361E-01,-1.23E+34,lawn_grass,,,,
2.4210002E-01,-1.23E+34,lawn_grass,,,,
2.4810001E-01,-1.23E+34,lawn_grass,,,,
2.536E-01,-1.23E+34,lawn_grass,,,,
2.586E-01,-1.23E+34,lawn_grass,,,,
2.6359999E-01,-1.23E+34,lawn_grass,,,,
2.6859999E-01,-1.23E+34,lawn_grass,,,,
2.7309999E-01,-1.23E+34,lawn_grass,,,,
2.771E-01,-1.23E+34,lawn_grass,,,,
2.8109998E-01,-1.23E+34,lawn_grass,,,,
2.8509998E-01,-1.23E+34,lawn_grass,,,,
2.8909999E-01,-1.23E+34,lawn_grass,,,,
2.931E-01,-1.23E+34,lawn_grass,,,,
2.9710001E-01,-1.23E+34,lawn_grass,,,,
3.0109999E-01,-1.23E+34,lawn_grass,,,,
3.0509999E-01,1.9782942E-02,lawn_grass,,,,
3.091E-01,1.9608431E-02,lawn_grass,,,,
3.1309998E-01,1.943648E-02,lawn_grass,,,,
3.1709999E-01,1.9673724E-02,lawn_grass,,,,
3.211E-01,1.95E-02,lawn_grass,,,,
3.251E-01,1.9688444E-02,lawn_grass,,,,
3.2910001E-01,1.95559E-02,lawn_grass,,,,
3.3309999E-01,1.9475121E-02,lawn_grass,,,,
3.371E-01,2.5423625E-02,lawn_grass,,,,
3.4109998E-01,2.3691222E-02,lawn_grass,,,,
3.4509999E-01,2.0644199E-02,lawn_grass,,,,
3.4909999E-01,2.0048695E-02,lawn_grass,,,,
3.531E-01,2.4335168E-02,lawn_grass,,,,
3.5710001E-01,2.5107557E-02,lawn_grass,,,,
3.6060002E-01,2.439614E-02,lawn_grass,,,,
3.6360002E-01,2.4417814E-02,lawn_grass,,,,
3.6660004E-01,2.5258822E-02,lawn_grass,,,,
3.6960003E-01,2.3511779E-02,lawn_grass,,,,
3.7260002E-01,2.2063045E-02,lawn_grass,,,,
3.7560001E-01,1.9602709E-02,lawn_grass,,,,
3.786E-01,2.3941826E-02,lawn_grass,,,,
3.8109997E-01,2.0173622E-02,lawn_grass,,,,
3.8309997E-01,2.0287439E-02,lawn_grass,,,,
3.8509998E-01,2.1182351E-02,lawn_grass,,,,
3.8709998E-01,2.1451073E-02,lawn_grass,,,,
